pump_id,well_id,group,pump_size_model,expected_failure_interval_days,num_failures_3years,failure_dates,failure_modes,failure_causes,avg_flow_rate_m3_day,avg_discharge_pressure_MPa,avg_inlet_pressure_MPa,avg_motor_temperature_C,avg_vibration_mm_s,avg_motor_current_A,avg_power_consumption_kW,MTBF_days,MTTR_days,avg_days_between_failures,pump_efficiency_percent,uptime_percent,maintenance_cost_USD,operational_state,total_operating_days,study_start_date,study_end_date
19,19,Group_A,ESP_250,730.0,1,2024-05-18,Seal_Failure,Pressure_Spike,162.55,27.94,11.17,89.83,3.06,16.17,17.35,1094.0,0.95,0.0,93.66,99.91,3899.53,Active,1095,2022-01-01,2024-12-31
20,20,Group_A,ESP_360,730.0,1,2024-04-11,Electrical_Short,Voltage_Surge,95.92,24.71,9.88,67.96,3.46,78.25,14.83,1094.0,2.73,0.0,96.31,99.75,3623.61,Active,1095,2022-01-01,2024-12-31
21,21,Group_A,ESP_130,730.0,1,2023-11-18,Electrical_Short,Voltage_Surge,226.91,19.21,7.68,74.98,5.43,64.96,6.09,1094.0,2.99,0.0,94.7,99.73,2666.87,Active,1095,2022-01-01,2024-12-31
22,22,Group_A,ESP_130,730.0,1,2024-05-01,Seal_Failure,Pressure_Spike,237.81,27.13,10.85,89.0,7.78,70.45,12.36,1094.0,1.46,0.0,98.51,99.87,3353.55,Active,1095,2022-01-01,2024-12-31
23,23,Group_A,ESP_360,730.0,1,2023-12-27,Seal_Failure,Pressure_Spike,223.52,47.2,18.88,62.11,3.25,58.62,13.97,1094.0,1.14,0.0,92.95,99.9,3529.3,Active,1095,2022-01-01,2024-12-31
24,24,Group_A,ESP_130,730.0,1,2024-03-11,Electrical_Short,Voltage_Surge,141.11,21.74,8.7,84.28,6.86,71.36,27.83,1094.0,1.78,0.0,95.02,99.84,5047.5,Active,1095,2022-01-01,2024-12-31
25,25,Group_A,ESP_80,730.0,1,2023-10-03,Bearing_Wear,High_Temperature,88.63,45.46,18.19,60.83,5.47,43.5,21.8,1094.0,1.32,0.0,91.55,99.88,4387.17,Active,1095,2022-01-01,2024-12-31
26,26,Group_A,ESP_130,730.0,1,2023-10-30,Shaft_Breakage,Misalignment,86.35,42.9,17.16,70.81,2.76,48.95,24.25,1094.0,1.04,0.0,96.23,99.91,4655.36,Active,1095,2022-01-01,2024-12-31
27,27,Group_A,ESP_360,730.0,1,2024-04-09,Bearing_Wear,High_Temperature,198.92,15.53,6.21,63.98,7.82,61.45,6.03,1094.0,1.5,0.0,94.34,99.86,2659.92,Active,1095,2022-01-01,2024-12-31
28,28,Group_A,ESP_130,730.0,1,2023-08-30,Bearing_Wear,High_Temperature,222.12,37.84,15.14,72.27,3.04,25.17,11.26,1094.0,1.87,0.0,97.15,99.83,3232.54,Active,1095,2022-01-01,2024-12-31
29,29,Group_A,ESP_360,730.0,1,2024-05-06,Electrical_Short,Voltage_Surge,191.71,27.43,10.97,81.9,2.29,51.79,8.97,1094.0,0.8,0.0,93.42,99.93,2981.79,Active,1095,2022-01-01,2024-12-31
30,30,Group_A,ESP_360,730.0,1,2023-08-21,Bearing_Wear,High_Temperature,199.62,28.97,11.59,62.94,4.95,45.78,9.33,1094.0,1.58,0.0,93.99,99.86,3021.64,Active,1095,2022-01-01,2024-12-31
31,31,Group_A,ESP_130,730.0,1,2024-05-11,Cavitation,Low_Inlet_Pressure,82.6,47.34,18.93,75.03,5.24,59.46,20.4,1094.0,2.86,0.0,99.44,99.74,4233.39,Active,1095,2022-01-01,2024-12-31
32,32,Group_A,ESP_360,730.0,1,2024-01-26,Sand_Clogging,Improper_Maintenance,145.99,35.73,14.29,73.75,5.27,76.2,14.65,1094.0,2.9,0.0,99.05,99.73,3604.46,Active,1095,2022-01-01,2024-12-31
33,33,Group_A,ESP_360,730.0,1,2023-10-26,Bearing_Wear,High_Temperature,86.62,34.73,13.89,70.1,5.93,40.05,22.04,1094.0,1.35,0.0,92.61,99.88,4413.42,Active,1095,2022-01-01,2024-12-31
34,34,Group_A,ESP_250,730.0,1,2023-09-11,Electrical_Short,Voltage_Surge,229.17,39.4,15.76,84.1,3.69,26.53,23.77,1094.0,2.52,0.0,99.91,99.77,4602.31,Active,1095,2022-01-01,2024-12-31
35,35,Group_A,ESP_360,730.0,1,2023-09-14,Seal_Failure,Pressure_Spike,227.41,32.47,12.99,67.16,6.08,63.09,10.96,1094.0,1.44,0.0,95.34,99.87,3199.67,Active,1095,2022-01-01,2024-12-31
36,36,Group_A,ESP_360,730.0,1,2024-04-05,Seal_Failure,Pressure_Spike,146.16,10.43,4.17,87.16,2.55,35.76,28.75,1094.0,2.88,0.0,95.73,99.74,5148.29,Active,1095,2022-01-01,2024-12-31
37,37,Group_A,ESP_250,730.0,1,2023-09-01,Bearing_Wear,High_Temperature,174.13,18.51,7.4,88.39,6.69,22.38,28.27,1094.0,2.94,0.0,99.96,99.73,5095.92,Active,1095,2022-01-01,2024-12-31
38,38,Group_A,ESP_130,730.0,1,2023-12-14,Cavitation,Low_Inlet_Pressure,99.9,15.72,6.29,82.85,5.71,21.57,7.1,1094.0,2.25,0.0,90.73,99.79,2777.74,Active,1095,2022-01-01,2024-12-31
39,39,Group_A,ESP_130,730.0,1,2024-04-24,Bearing_Wear,High_Temperature,119.65,33.25,13.3,85.89,7.28,30.38,27.69,1094.0,1.98,0.0,93.5,99.82,5032.31,Active,1095,2022-01-01,2024-12-31
40,40,Group_A,ESP_360,730.0,1,2023-09-01,Cavitation,Low_Inlet_Pressure,152.12,46.25,18.5,63.34,4.96,15.74,16.72,1094.0,0.64,0.0,91.19,99.94,3830.46,Active,1095,2022-01-01,2024-12-31
41,41,Group_A,ESP_80,730.0,1,2024-04-04,Electrical_Short,Voltage_Surge,120.38,26.01,10.4,74.33,2.5,49.34,15.91,1094.0,2.51,0.0,99.78,99.77,3741.97,Active,1095,2022-01-01,2024-12-31
42,42,Group_A,ESP_80,730.0,1,2023-08-20,Cavitation,Low_Inlet_Pressure,248.8,12.95,5.18,76.62,7.82,49.0,20.73,1094.0,2.24,0.0,94.55,99.8,4270.48,Active,1095,2022-01-01,2024-12-31
43,43,Group_A,ESP_80,730.0,1,2024-02-27,Seal_Failure,Pressure_Spike,235.59,48.35,19.34,61.74,4.37,21.94,13.39,1094.0,0.92,0.0,96.47,99.92,3466.37,Active,1095,2022-01-01,2024-12-31
44,44,Group_A,ESP_360,730.0,1,2023-11-19,Shaft_Breakage,Misalignment,245.65,49.45,19.78,80.94,5.22,35.12,25.34,1094.0,2.21,0.0,91.63,99.8,4775.26,Active,1095,2022-01-01,2024-12-31
45,45,Group_A,ESP_130,730.0,1,2023-08-30,Sand_Clogging,Improper_Maintenance,178.8,46.77,18.71,62.48,7.26,50.85,9.12,1094.0,1.53,0.0,97.78,99.86,2998.73,Active,1095,2022-01-01,2024-12-31
46,46,Group_A,ESP_130,730.0,1,2024-05-22,Bearing_Wear,High_Temperature,144.75,48.8,19.52,85.26,7.03,45.47,15.37,1094.0,1.18,0.0,90.56,99.89,3683.07,Active,1095,2022-01-01,2024-12-31
47,47,Group_A,ESP_130,730.0,1,2024-02-25,Shaft_Breakage,Misalignment,235.24,33.41,13.36,81.78,6.54,39.56,11.03,1094.0,1.01,0.0,92.51,99.91,3207.47,Active,1095,2022-01-01,2024-12-31
48,48,Group_A,ESP_80,730.0,1,2024-02-01,Bearing_Wear,High_Temperature,185.08,24.33,9.73,63.41,6.03,48.82,24.31,1094.0,1.8,0.0,98.52,99.84,4661.72,Active,1095,2022-01-01,2024-12-31
49,49,Group_A,ESP_130,730.0,1,2024-05-16,Bearing_Wear,High_Temperature,180.29,29.2,11.68,72.62,6.71,56.56,25.13,1094.0,2.76,0.0,96.17,99.75,4751.31,Active,1095,2022-01-01,2024-12-31
50,50,Group_A,ESP_130,730.0,1,2023-11-18,Shaft_Breakage,Misalignment,154.37,46.17,18.47,70.45,5.08,65.94,14.91,1094.0,2.06,0.0,98.62,99.81,3633.04,Active,1095,2022-01-01,2024-12-31
51,51,Group_A,ESP_80,730.0,1,2024-03-27,Shaft_Breakage,Misalignment,210.72,12.65,5.06,61.38,5.72,37.58,10.23,1094.0,1.95,0.0,93.42,99.82,3120.0,Active,1095,2022-01-01,2024-12-31
52,52,Group_A,ESP_250,730.0,1,2023-09-14,Bearing_Wear,High_Temperature,103.6,35.63,14.25,65.46,4.07,73.29,16.85,1094.0,2.17,0.0,91.72,99.8,3844.97,Active,1095,2022-01-01,2024-12-31
53,53,Group_A,ESP_130,730.0,1,2023-10-12,Cavitation,Low_Inlet_Pressure,139.1,11.27,4.51,76.46,5.21,38.14,27.36,1094.0,0.82,0.0,93.3,99.92,4995.42,Active,1095,2022-01-01,2024-12-31
54,54,Group_A,ESP_250,730.0,1,2023-08-19,Cavitation,Low_Inlet_Pressure,93.9,44.94,17.98,87.63,2.37,33.0,25.16,1094.0,2.37,0.0,91.85,99.78,4754.48,Active,1095,2022-01-01,2024-12-31
55,55,Group_A,ESP_250,730.0,1,2024-01-11,Sand_Clogging,Improper_Maintenance,209.19,31.25,12.5,81.62,2.37,24.6,8.33,1094.0,2.22,0.0,98.44,99.8,2911.91,Active,1095,2022-01-01,2024-12-31
56,56,Group_A,ESP_250,730.0,1,2024-01-10,Bearing_Wear,High_Temperature,170.54,19.7,7.88,68.08,4.26,16.3,13.05,1094.0,1.03,0.0,93.27,99.91,3429.19,Active,1095,2022-01-01,2024-12-31
57,57,Group_A,ESP_360,730.0,1,2023-10-15,Seal_Failure,Pressure_Spike,140.37,35.95,14.38,74.39,5.51,62.89,18.94,1094.0,1.97,0.0,95.64,99.82,4074.32,Active,1095,2022-01-01,2024-12-31
58,58,Group_A,ESP_130,730.0,1,2023-10-29,Seal_Failure,Pressure_Spike,177.03,24.24,9.7,89.6,5.63,30.42,7.54,1094.0,0.88,0.0,92.46,99.92,2826.13,Active,1095,2022-01-01,2024-12-31
59,59,Group_A,ESP_360,730.0,1,2024-04-12,Bearing_Wear,High_Temperature,89.46,43.69,17.48,61.55,2.11,60.3,29.93,1094.0,2.74,0.0,95.76,99.75,5277.49,Active,1095,2022-01-01,2024-12-31
60,60,Group_A,ESP_250,730.0,1,2024-04-16,Cavitation,Low_Inlet_Pressure,109.05,36.75,14.7,87.88,5.34,52.15,12.0,1094.0,2.42,0.0,91.87,99.78,3313.94,Active,1095,2022-01-01,2024-12-31
61,61,Group_A,ESP_130,730.0,1,2024-03-02,Bearing_Wear,High_Temperature,170.07,38.29,15.32,83.03,2.52,47.9,28.3,1094.0,1.3,0.0,95.94,99.88,5098.89,Active,1095,2022-01-01,2024-12-31
62,62,Group_A,ESP_130,730.0,1,2023-11-14,Bearing_Wear,High_Temperature,248.29,22.89,9.16,84.3,3.53,59.3,24.01,1094.0,1.99,0.0,94.72,99.82,4628.62,Active,1095,2022-01-01,2024-12-31
63,63,Group_A,ESP_250,730.0,1,2024-03-26,Bearing_Wear,High_Temperature,206.82,26.34,10.54,87.99,7.95,28.33,14.48,1094.0,2.82,0.0,97.22,99.74,3585.64,Active,1095,2022-01-01,2024-12-31
64,64,Group_A,ESP_360,730.0,1,2024-04-09,Bearing_Wear,High_Temperature,114.28,16.55,6.62,64.93,6.89,58.24,18.08,1094.0,1.4,0.0,98.77,99.87,3979.39,Active,1095,2022-01-01,2024-12-31
65,65,Group_A,ESP_80,730.0,1,2024-02-23,Shaft_Breakage,Misalignment,232.94,34.96,13.99,76.19,4.63,52.54,13.88,1094.0,1.48,0.0,95.32,99.86,3520.3,Active,1095,2022-01-01,2024-12-31
66,66,Group_A,ESP_80,730.0,1,2024-04-28,Electrical_Short,Voltage_Surge,239.77,35.11,14.04,70.05,2.84,66.61,20.5,1094.0,1.83,0.0,98.94,99.83,4244.95,Active,1095,2022-01-01,2024-12-31
67,67,Group_A,ESP_360,730.0,1,2024-05-25,Cavitation,Low_Inlet_Pressure,212.36,15.73,6.29,66.14,6.28,47.11,23.87,1094.0,0.76,0.0,95.36,99.93,4613.31,Active,1095,2022-01-01,2024-12-31
68,68,Group_A,ESP_250,730.0,1,2024-04-11,Bearing_Wear,High_Temperature,215.54,16.0,6.4,66.88,6.33,61.8,21.03,1094.0,2.23,0.0,95.43,99.8,4302.64,Active,1095,2022-01-01,2024-12-31
69,69,Group_A,ESP_250,730.0,1,2024-01-29,Cavitation,Low_Inlet_Pressure,138.23,19.09,7.64,72.71,3.73,54.97,27.8,1094.0,0.85,0.0,91.01,99.92,5043.7,Active,1095,2022-01-01,2024-12-31
70,70,Group_A,ESP_80,730.0,1,2023-08-13,Cavitation,Low_Inlet_Pressure,176.07,37.87,15.15,87.67,6.24,24.92,19.41,1094.0,2.02,0.0,94.24,99.82,4125.09,Active,1095,2022-01-01,2024-12-31
71,71,Group_A,ESP_80,730.0,1,2023-09-07,Cavitation,Low_Inlet_Pressure,100.88,19.44,7.77,64.97,3.12,69.44,13.3,1094.0,1.28,0.0,92.27,99.88,3456.75,Active,1095,2022-01-01,2024-12-31
72,72,Group_A,ESP_250,730.0,1,2023-12-02,Bearing_Wear,High_Temperature,216.49,10.19,4.07,70.0,4.39,49.93,28.0,1094.0,1.37,0.0,93.47,99.88,5065.6,Active,1095,2022-01-01,2024-12-31
73,73,Group_A,ESP_130,730.0,1,2024-05-02,Shaft_Breakage,Misalignment,235.17,19.93,7.97,77.33,2.99,17.2,12.79,1094.0,2.45,0.0,92.78,99.78,3400.16,Active,1095,2022-01-01,2024-12-31
74,74,Group_A,ESP_130,730.0,1,2023-08-11,Electrical_Short,Voltage_Surge,243.38,15.95,6.38,72.44,2.51,79.8,17.55,1094.0,1.99,0.0,90.67,99.82,3922.26,Active,1095,2022-01-01,2024-12-31
75,75,Group_A,ESP_250,730.0,1,2023-12-10,Cavitation,Low_Inlet_Pressure,159.6,35.0,14.0,71.33,7.02,53.18,12.35,1094.0,2.29,0.0,95.28,99.79,3352.45,Active,1095,2022-01-01,2024-12-31
76,76,Group_A,ESP_130,730.0,1,2023-12-14,Seal_Failure,Pressure_Spike,106.39,17.28,6.91,85.85,7.68,39.27,11.77,1094.0,2.11,0.0,94.09,99.81,3288.66,Active,1095,2022-01-01,2024-12-31
77,77,Group_A,ESP_250,730.0,1,2024-05-19,Cavitation,Low_Inlet_Pressure,149.36,32.07,12.83,67.62,3.18,47.86,19.88,1094.0,1.35,0.0,95.69,99.88,4176.45,Active,1095,2022-01-01,2024-12-31
78,78,Group_A,ESP_250,730.0,1,2024-02-14,Bearing_Wear,High_Temperature,121.34,38.89,15.56,85.67,6.98,40.82,21.7,1094.0,1.01,0.0,92.93,99.91,4376.38,Active,1095,2022-01-01,2024-12-31
79,79,Group_A,ESP_360,730.0,1,2023-09-02,Electrical_Short,Voltage_Surge,224.18,14.91,5.96,86.29,5.86,60.76,27.77,1094.0,2.06,0.0,93.36,99.81,5040.33,Active,1095,2022-01-01,2024-12-31
80,80,Group_A,ESP_250,730.0,1,2023-11-26,Shaft_Breakage,Misalignment,186.11,26.38,10.55,76.56,4.62,34.14,28.71,1094.0,2.41,0.0,91.4,99.78,5143.89,Active,1095,2022-01-01,2024-12-31
81,81,Group_A,ESP_130,730.0,1,2024-01-20,Sand_Clogging,Improper_Maintenance,110.96,29.39,11.76,75.37,6.45,60.42,15.06,1094.0,1.05,0.0,96.45,99.9,3649.48,Active,1095,2022-01-01,2024-12-31
82,82,Group_A,ESP_130,730.0,1,2024-05-21,Shaft_Breakage,Misalignment,126.29,10.74,4.29,87.43,2.71,52.47,11.85,1094.0,1.89,0.0,96.51,99.83,3297.73,Active,1095,2022-01-01,2024-12-31
83,83,Group_A,ESP_130,730.0,1,2024-03-05,Bearing_Wear,High_Temperature,124.83,20.66,8.26,81.97,3.5,56.15,17.36,1094.0,1.93,0.0,98.38,99.82,3900.57,Active,1095,2022-01-01,2024-12-31
84,84,Group_A,ESP_80,730.0,1,2023-11-27,Shaft_Breakage,Misalignment,108.27,39.52,15.81,62.48,5.62,30.95,14.73,1094.0,1.22,0.0,93.56,99.89,3613.2,Active,1095,2022-01-01,2024-12-31
85,85,Group_A,ESP_80,730.0,1,2024-03-05,Electrical_Short,Voltage_Surge,147.43,48.16,19.27,64.05,4.9,32.54,18.5,1094.0,0.91,0.0,98.42,99.92,4025.32,Active,1095,2022-01-01,2024-12-31
86,86,Group_A,ESP_80,730.0,1,2023-12-30,Shaft_Breakage,Misalignment,211.06,14.26,5.71,62.25,6.37,47.21,22.21,1094.0,1.59,0.0,92.46,99.86,4432.0,Active,1095,2022-01-01,2024-12-31
87,87,Group_A,ESP_250,730.0,1,2023-08-30,Bearing_Wear,High_Temperature,80.89,14.12,5.65,69.44,6.84,77.54,24.75,1094.0,2.23,0.0,95.21,99.8,4710.16,Active,1095,2022-01-01,2024-12-31
88,88,Group_A,ESP_360,730.0,1,2024-01-13,Cavitation,Low_Inlet_Pressure,217.12,36.35,14.54,80.77,7.1,31.23,17.24,1094.0,1.05,0.0,99.88,99.9,3887.3,Active,1095,2022-01-01,2024-12-31
89,89,Group_A,ESP_80,730.0,1,2024-02-19,Bearing_Wear,High_Temperature,249.89,32.23,12.89,74.2,3.88,22.83,23.28,1094.0,0.98,0.0,91.15,99.91,4548.68,Active,1095,2022-01-01,2024-12-31
90,90,Group_A,ESP_250,730.0,1,2024-05-09,Shaft_Breakage,Misalignment,223.57,22.76,9.11,84.87,2.22,53.76,10.75,1094.0,0.8,0.0,90.77,99.93,3177.15,Active,1095,2022-01-01,2024-12-31
91,91,Group_A,ESP_80,730.0,1,2024-01-09,Seal_Failure,Pressure_Spike,177.31,42.16,16.86,76.15,5.97,62.96,18.0,1094.0,1.57,0.0,98.77,99.86,3971.46,Active,1095,2022-01-01,2024-12-31
92,92,Group_A,ESP_130,730.0,1,2023-08-15,Cavitation,Low_Inlet_Pressure,228.7,31.16,12.46,88.17,6.79,79.87,13.77,1094.0,2.42,0.0,94.02,99.78,3507.57,Active,1095,2022-01-01,2024-12-31
93,93,Group_A,ESP_80,730.0,1,2023-12-26,Shaft_Breakage,Misalignment,147.71,13.67,5.47,70.09,5.14,62.6,5.08,1094.0,1.67,0.0,92.97,99.85,2556.66,Active,1095,2022-01-01,2024-12-31
94,94,Group_A,ESP_130,730.0,1,2023-11-02,Bearing_Wear,High_Temperature,83.04,49.51,19.8,72.83,4.31,59.18,10.46,1094.0,2.87,0.0,97.86,99.74,3144.97,Active,1095,2022-01-01,2024-12-31
95,95,Group_A,ESP_250,730.0,1,2024-01-26,Sand_Clogging,Improper_Maintenance,182.14,46.15,18.46,89.68,6.46,19.22,15.04,1094.0,2.59,0.0,92.31,99.76,3646.83,Active,1095,2022-01-01,2024-12-31
96,96,Group_A,ESP_250,730.0,1,2024-01-04,Bearing_Wear,High_Temperature,117.48,17.46,6.98,83.39,4.1,18.76,29.23,1094.0,2.71,0.0,99.28,99.75,5200.42,Active,1095,2022-01-01,2024-12-31
97,97,Group_A,ESP_130,730.0,1,2024-01-08,Seal_Failure,Pressure_Spike,163.5,49.85,19.94,86.92,4.78,55.49,23.7,1094.0,0.59,0.0,98.95,99.95,4594.8,Active,1095,2022-01-01,2024-12-31
98,98,Group_A,ESP_80,730.0,1,2023-09-03,Cavitation,Low_Inlet_Pressure,102.02,45.55,18.22,88.67,7.17,67.62,21.38,1094.0,1.88,0.0,90.87,99.83,4341.22,Active,1095,2022-01-01,2024-12-31
99,99,Group_A,ESP_360,730.0,1,2023-10-20,Bearing_Wear,High_Temperature,88.29,31.3,12.52,88.86,2.66,73.14,29.79,1094.0,0.65,0.0,98.83,99.94,5261.66,Active,1095,2022-01-01,2024-12-31
100,100,Group_A,ESP_130,730.0,1,2024-01-27,Cavitation,Low_Inlet_Pressure,195.26,32.63,13.05,68.01,7.27,66.83,21.46,1094.0,2.63,0.0,98.67,99.76,4350.01,Active,1095,2022-01-01,2024-12-31
101,101,Group_B,ESP_80,365.0,2,2022-12-07; 2024-02-08,Bearing_Wear; Bearing_Wear,High_Temperature; High_Temperature,112.17,45.27,18.11,88.84,4.79,72.14,5.13,546.5,2.55,428.0,87.29,99.53,4561.58,Active,1095,2022-01-01,2024-12-31
102,102,Group_B,ESP_250,365.0,3,2022-11-12; 2023-12-30; 2024-10-18,Cavitation; Shaft_Breakage; Seal_Failure,Low_Inlet_Pressure; Misalignment; Pressure_Spike,246.8,35.27,14.11,67.79,5.8,50.1,24.5,364.0,0.77,353.0,87.61,99.79,8682.33,Active,1095,2022-01-01,2024-12-31
103,103,Group_B,ESP_130,365.0,2,2022-12-22; 2023-12-06,Cavitation; Bearing_Wear,Low_Inlet_Pressure; High_Temperature,214.1,16.95,6.78,83.13,7.68,25.81,24.27,546.5,2.27,349.0,89.74,99.59,6658.07,Active,1095,2022-01-01,2024-12-31
104,104,Group_B,ESP_130,365.0,2,2023-01-18; 2024-03-12,Bearing_Wear; Sand_Clogging,High_Temperature; Improper_Maintenance,207.44,15.2,6.08,82.75,2.15,16.44,13.09,546.5,1.72,419.0,92.7,99.69,5433.38,Active,1095,2022-01-01,2024-12-31
105,105,Group_B,ESP_130,365.0,3,2022-10-20; 2023-10-15; 2024-08-17,Bearing_Wear; Sand_Clogging; Cavitation,High_Temperature; Improper_Maintenance; Low_Inlet_Pressure,220.41,21.93,8.77,85.2,6.64,29.95,8.28,364.0,2.67,333.5,89.63,99.27,6907.03,Active,1095,2022-01-01,2024-12-31
106,106,Group_B,ESP_360,365.0,3,2022-12-22; 2023-12-10; 2024-11-24,Sand_Clogging; Electrical_Short; Seal_Failure,Improper_Maintenance; Voltage_Surge; Pressure_Spike,149.59,45.76,18.31,66.9,3.28,17.02,21.29,364.0,1.42,351.5,88.64,99.61,8331.44,Active,1095,2022-01-01,2024-12-31
107,107,Group_B,ESP_360,365.0,3,2023-01-07; 2023-11-25; 2024-10-04,Bearing_Wear; Bearing_Wear; Shaft_Breakage,High_Temperature; High_Temperature; Misalignment,83.04,41.87,16.75,68.83,7.47,77.89,9.64,364.0,1.66,318.0,80.01,99.55,7055.19,Active,1095,2022-01-01,2024-12-31
108,108,Group_B,ESP_250,365.0,3,2022-11-07; 2023-10-28; 2024-10-25,Electrical_Short; Bearing_Wear; Bearing_Wear,Voltage_Surge; High_Temperature; High_Temperature,125.73,41.9,16.76,69.31,4.73,15.76,6.81,364.0,1.48,359.0,84.8,99.59,6745.82,Active,1095,2022-01-01,2024-12-31
109,109,Group_B,ESP_250,365.0,2,2023-02-02; 2024-03-10,Electrical_Short; Sand_Clogging,Voltage_Surge; Improper_Maintenance,203.13,39.97,15.99,64.38,2.62,52.11,5.46,546.5,1.71,402.0,87.1,99.69,4597.78,Active,1095,2022-01-01,2024-12-31
110,110,Group_B,ESP_80,365.0,3,2023-01-09; 2023-12-15; 2024-10-15,Bearing_Wear; Shaft_Breakage; Seal_Failure,High_Temperature; Misalignment; Pressure_Spike,93.36,25.88,10.35,63.98,5.41,59.82,25.01,364.0,1.0,322.5,81.67,99.73,8739.11,Active,1095,2022-01-01,2024-12-31
